"","Replicate","Location","beta.bray","type","Year"
"68","Mahe W Carbonate13","Mahe W Carbonate",0.461589983821021,"Recovering",2011
"69","Mahe W Granite13","Mahe W Granite",0.502462819479529,"Recovering",2011
"70","Mahe W Patch13","Mahe W Patch",0.557275888028585,"Recovering",2011
"71","Praslin NE Granite13","Praslin NE Granite",0.474127415190891,"Recovering",2011
"72","Praslin NE Patch13","Praslin NE Patch",0.558894878776786,"Recovering",2011
"73","Praslin SW Granite13","Praslin SW Granite",0.451577077334562,"Recovering",2011
"74","Ste Anne Granite13","Ste Anne Granite",0.459273061797953,"Recovering",2011
"75","Ste Anne Patch13","Ste Anne Patch",0.505356109083425,"Recovering",2011
"76","Cousin Carbonate4","Cousin Carbonate",0.539266588395226,"Shifted",2011
"77","Cousin Granite4","Cousin Granite",0.530334404055463,"Shifted",2011
"78","Cousin Patch4","Cousin Patch",0.59960844112171,"Shifted",2011
"79","Mahe E Carbonate4","Mahe E Carbonate",0.572155748185934,"Shifted",2011
"80","Mahe E Granite4","Mahe E Granite",0.577173522759291,"Shifted",2011
"81","Praslin NE Carbonate4","Praslin NE Carbonate",0.599581403977152,"Shifted",2011
"82","Praslin SW Carbonate4","Praslin SW Carbonate",0.609773248111153,"Shifted",2011
"83","Praslin SW Patch4","Praslin SW Patch",0.574548948516194,"Shifted",2011
"84","Ste Anne Carbonate4","Ste Anne Carbonate",0.615722117902342,"Shifted",2011
"85","Mahe E Patch14","Mahe E Patch",0.483038676392525,"Recovering",2014
"86","Mahe NW Carbonate14","Mahe NW Carbonate",0.507773575769285,"Recovering",2014
"87","Mahe NW Granite14","Mahe NW Granite",0.508801717877703,"Recovering",2014
"88","Mahe NW Patch14","Mahe NW Patch",0.472903014536563,"Recovering",2014
"89","Mahe W Carbonate14","Mahe W Carbonate",0.540646230740108,"Recovering",2014
"90","Mahe W Granite14","Mahe W Granite",0.493449675328731,"Recovering",2014
"91","Mahe W Patch14","Mahe W Patch",0.546913671354344,"Recovering",2014
"92","Praslin NE Granite14","Praslin NE Granite",0.46930304333873,"Recovering",2014
"93","Praslin NE Patch14","Praslin NE Patch",0.58982932943458,"Recovering",2014
"94","Praslin SW Granite14","Praslin SW Granite",0.478835958065127,"Recovering",2014
"95","Ste Anne Granite14","Ste Anne Granite",0.533484962989641,"Recovering",2014
"96","Ste Anne Patch14","Ste Anne Patch",0.616515669099806,"Recovering",2014
"97","Cousin Carbonate5","Cousin Carbonate",0.557360115906081,"Shifted",2014
"98","Cousin Granite5","Cousin Granite",0.535983656995874,"Shifted",2014
"99","Cousin Patch5","Cousin Patch",0.543904332704752,"Shifted",2014
"100","Mahe E Carbonate5","Mahe E Carbonate",0.559816693522269,"Shifted",2014
"101","Mahe E Granite5","Mahe E Granite",0.563351936792728,"Shifted",2014
"102","Praslin NE Carbonate5","Praslin NE Carbonate",0.712014928930154,"Shifted",2014
"103","Praslin SW Carbonate5","Praslin SW Carbonate",0.481284639674112,"Shifted",2014
"104","Praslin SW Patch5","Praslin SW Patch",0.517173136312684,"Shifted",2014
"105","Ste Anne Carbonate5","Ste Anne Carbonate",0.529761218883944,"Shifted",2014
"106","Mahe E Patch15","Mahe E Patch",0.490571114843984,"Recovering",2017
"107","Mahe NW Carbonate15","Mahe NW Carbonate",0.485516178977609,"Recovering",2017
"108","Mahe NW Granite15","Mahe NW Granite",0.449519164193996,"Recovering",2017
"109","Mahe NW Patch15","Mahe NW Patch",0.502451402114265,"Recovering",2017
"110","Mahe W Carbonate15","Mahe W Carbonate",0.454821083577233,"Recovering",2017
"111","Mahe W Granite15","Mahe W Granite",0.467949833960631,"Recovering",2017
"112","Mahe W Patch15","Mahe W Patch",0.511372975086936,"Recovering",2017
"113","Praslin NE Granite15","Praslin NE Granite",0.45484914686278,"Recovering",2017
"114","Praslin NE Patch15","Praslin NE Patch",0.613838373497676,"Recovering",2017
"115","Praslin SW Granite15","Praslin SW Granite",0.460432401317975,"Recovering",2017
"116","Ste Anne Granite15","Ste Anne Granite",0.531793110520612,"Recovering",2017
"117","Ste Anne Patch15","Ste Anne Patch",0.604372019176382,"Recovering",2017
"118","Mahe E Carbonate6","Mahe E Carbonate",0.454631133768953,"Shifted",2017
"119","Mahe E Granite6","Mahe E Granite",0.458846922801095,"Shifted",2017
"120","Praslin NE Carbonate6","Praslin NE Carbonate",0.629386064005965,"Shifted",2017
"121","Praslin SW Carbonate6","Praslin SW Carbonate",0.539239413798564,"Shifted",2017
"122","Praslin SW Patch6","Praslin SW Patch",0.569859337549608,"Shifted",2017
"123","Ste Anne Carbonate6","Ste Anne Carbonate",0.497525999983092,"Shifted",2017
