"","X","Year","richness","Location","diff","state","site.year","rich.change","FG"
"1","Cousin Carbonate1",2005,15,"Cousin Carbonate",-6,"Shifted","Cousin Carbonate.2005","Loss","Herbivore"
"2","Cousin Granite1",2005,16,"Cousin Granite",-1,"Shifted","Cousin Granite.2005","Loss","Herbivore"
"3","Cousin Patch1",2005,12,"Cousin Patch",-4,"Shifted","Cousin Patch.2005","Loss","Herbivore"
"4","Mahe E Carbonate1",2005,12,"Mahe E Carbonate",-5,"Shifted","Mahe E Carbonate.2005","Loss","Herbivore"
"5","Mahe E Granite1",2005,11,"Mahe E Granite",2,"Shifted","Mahe E Granite.2005","Gain","Herbivore"
"6","Mahe E Patch1",2005,10,"Mahe E Patch",-7,"Recovering","Mahe E Patch.2005","Loss","Herbivore"
"7","Mahe NW Carbonate1",2005,15,"Mahe NW Carbonate",3,"Recovering","Mahe NW Carbonate.2005","Gain","Herbivore"
"8","Mahe NW Granite1",2005,14,"Mahe NW Granite",0,"Recovering","Mahe NW Granite.2005","Loss","Herbivore"
"9","Mahe NW Patch1",2005,6,"Mahe NW Patch",-4,"Recovering","Mahe NW Patch.2005","Loss","Herbivore"
"10","Mahe W Carbonate1",2005,18,"Mahe W Carbonate",7,"Recovering","Mahe W Carbonate.2005","Gain","Herbivore"
"11","Mahe W Granite1",2005,18,"Mahe W Granite",-1,"Recovering","Mahe W Granite.2005","Loss","Herbivore"
"12","Mahe W Patch1",2005,10,"Mahe W Patch",-8,"Recovering","Mahe W Patch.2005","Loss","Herbivore"
"13","Praslin NE Carbonate1",2005,10,"Praslin NE Carbonate",-6,"Shifted","Praslin NE Carbonate.2005","Loss","Herbivore"
"14","Praslin NE Granite1",2005,16,"Praslin NE Granite",0,"Recovering","Praslin NE Granite.2005","Loss","Herbivore"
"15","Praslin NE Patch1",2005,14,"Praslin NE Patch",2,"Recovering","Praslin NE Patch.2005","Gain","Herbivore"
"16","Praslin SW Carbonate1",2005,8,"Praslin SW Carbonate",-7,"Shifted","Praslin SW Carbonate.2005","Loss","Herbivore"
"17","Praslin SW Granite1",2005,16,"Praslin SW Granite",0,"Recovering","Praslin SW Granite.2005","Loss","Herbivore"
"18","Praslin SW Patch1",2005,14,"Praslin SW Patch",-3,"Shifted","Praslin SW Patch.2005","Loss","Herbivore"
"19","Ste Anne Carbonate1",2005,8,"Ste Anne Carbonate",-7,"Shifted","Ste Anne Carbonate.2005","Loss","Herbivore"
"20","Ste Anne Granite1",2005,23,"Ste Anne Granite",11,"Recovering","Ste Anne Granite.2005","Gain","Herbivore"
"21","Ste Anne Patch1",2005,11,"Ste Anne Patch",-9,"Recovering","Ste Anne Patch.2005","Loss","Herbivore"
"22","Cousin Carbonate2",2008,16,"Cousin Carbonate",-5,"Shifted","Cousin Carbonate.2008","Loss","Herbivore"
"23","Cousin Granite2",2008,17,"Cousin Granite",0,"Shifted","Cousin Granite.2008","Loss","Herbivore"
"24","Cousin Patch2",2008,21,"Cousin Patch",5,"Shifted","Cousin Patch.2008","Gain","Herbivore"
"25","Mahe E Carbonate2",2008,13,"Mahe E Carbonate",-4,"Shifted","Mahe E Carbonate.2008","Loss","Herbivore"
"26","Mahe E Granite2",2008,16,"Mahe E Granite",7,"Shifted","Mahe E Granite.2008","Gain","Herbivore"
"27","Mahe E Patch2",2008,17,"Mahe E Patch",0,"Recovering","Mahe E Patch.2008","Loss","Herbivore"
"28","Mahe NW Carbonate2",2008,13,"Mahe NW Carbonate",1,"Recovering","Mahe NW Carbonate.2008","Gain","Herbivore"
"29","Mahe NW Granite2",2008,22,"Mahe NW Granite",8,"Recovering","Mahe NW Granite.2008","Gain","Herbivore"
"30","Mahe NW Patch2",2008,8,"Mahe NW Patch",-2,"Recovering","Mahe NW Patch.2008","Loss","Herbivore"
"31","Mahe W Carbonate2",2008,18,"Mahe W Carbonate",7,"Recovering","Mahe W Carbonate.2008","Gain","Herbivore"
"32","Mahe W Granite2",2008,19,"Mahe W Granite",0,"Recovering","Mahe W Granite.2008","Loss","Herbivore"
"33","Mahe W Patch2",2008,13,"Mahe W Patch",-5,"Recovering","Mahe W Patch.2008","Loss","Herbivore"
"34","Praslin NE Carbonate2",2008,12,"Praslin NE Carbonate",-4,"Shifted","Praslin NE Carbonate.2008","Loss","Herbivore"
"35","Praslin NE Granite2",2008,19,"Praslin NE Granite",3,"Recovering","Praslin NE Granite.2008","Gain","Herbivore"
"36","Praslin NE Patch2",2008,13,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2008","Gain","Herbivore"
"37","Praslin SW Carbonate2",2008,12,"Praslin SW Carbonate",-3,"Shifted","Praslin SW Carbonate.2008","Loss","Herbivore"
"38","Praslin SW Granite2",2008,21,"Praslin SW Granite",5,"Recovering","Praslin SW Granite.2008","Gain","Herbivore"
"39","Praslin SW Patch2",2008,18,"Praslin SW Patch",1,"Shifted","Praslin SW Patch.2008","Gain","Herbivore"
"40","Ste Anne Carbonate2",2008,15,"Ste Anne Carbonate",0,"Shifted","Ste Anne Carbonate.2008","Loss","Herbivore"
"41","Ste Anne Granite2",2008,21,"Ste Anne Granite",9,"Recovering","Ste Anne Granite.2008","Gain","Herbivore"
"42","Ste Anne Patch2",2008,14,"Ste Anne Patch",-6,"Recovering","Ste Anne Patch.2008","Loss","Herbivore"
"43","Cousin Carbonate3",2011,16,"Cousin Carbonate",-5,"Shifted","Cousin Carbonate.2011","Loss","Herbivore"
"44","Cousin Granite3",2011,18,"Cousin Granite",1,"Shifted","Cousin Granite.2011","Gain","Herbivore"
"45","Cousin Patch3",2011,23,"Cousin Patch",7,"Shifted","Cousin Patch.2011","Gain","Herbivore"
"46","Mahe E Carbonate3",2011,13,"Mahe E Carbonate",-4,"Shifted","Mahe E Carbonate.2011","Loss","Herbivore"
"47","Mahe E Granite3",2011,15,"Mahe E Granite",6,"Shifted","Mahe E Granite.2011","Gain","Herbivore"
"48","Mahe E Patch3",2011,17,"Mahe E Patch",0,"Recovering","Mahe E Patch.2011","Loss","Herbivore"
"49","Mahe NW Carbonate3",2011,15,"Mahe NW Carbonate",3,"Recovering","Mahe NW Carbonate.2011","Gain","Herbivore"
"50","Mahe NW Granite3",2011,18,"Mahe NW Granite",4,"Recovering","Mahe NW Granite.2011","Gain","Herbivore"
"51","Mahe NW Patch3",2011,16,"Mahe NW Patch",6,"Recovering","Mahe NW Patch.2011","Gain","Herbivore"
"52","Mahe W Carbonate3",2011,20,"Mahe W Carbonate",9,"Recovering","Mahe W Carbonate.2011","Gain","Herbivore"
"53","Mahe W Granite3",2011,19,"Mahe W Granite",0,"Recovering","Mahe W Granite.2011","Loss","Herbivore"
"54","Mahe W Patch3",2011,13,"Mahe W Patch",-5,"Recovering","Mahe W Patch.2011","Loss","Herbivore"
"55","Praslin NE Carbonate3",2011,7,"Praslin NE Carbonate",-9,"Shifted","Praslin NE Carbonate.2011","Loss","Herbivore"
"56","Praslin NE Granite3",2011,23,"Praslin NE Granite",7,"Recovering","Praslin NE Granite.2011","Gain","Herbivore"
"57","Praslin NE Patch3",2011,16,"Praslin NE Patch",4,"Recovering","Praslin NE Patch.2011","Gain","Herbivore"
"58","Praslin SW Carbonate3",2011,7,"Praslin SW Carbonate",-8,"Shifted","Praslin SW Carbonate.2011","Loss","Herbivore"
"59","Praslin SW Granite3",2011,22,"Praslin SW Granite",6,"Recovering","Praslin SW Granite.2011","Gain","Herbivore"
"60","Praslin SW Patch3",2011,22,"Praslin SW Patch",5,"Shifted","Praslin SW Patch.2011","Gain","Herbivore"
