"","FG.fine","FG","Species","Family","state","Location","biom","ID","biom94","biom.change","bodysize","coralmassives","coralencrusting","coralbranching","macroalgae","complexity","Management"
"1","Herbivore Grazer","Herbivore","Acanthurus leucosternon","Acanthuridae","Shifted","Cousin Carbonate",5.564807093,"Cousin Carbonate Acanthurus leucosternon",14.5690321646667,-7.21129209841667,16.0612244897959,0,0.375,0.125,55,2.375,"Protected"
"3","Herbivore Grazer","Herbivore","Acanthurus nigrofuscus","Acanthuridae","Shifted","Cousin Carbonate",9.62979069725,"Cousin Carbonate Acanthurus nigrofuscus",0,9.87719610332559,13.7090301003344,0,0.375,0.125,55,2.375,"Protected"
"4","Herbivore Grazer","Herbivore","Acanthurus tennentii","Acanthuridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Acanthurus tennentii",36.11923783,-36.11923783,21.9609756097561,0,0.375,0.125,55,2.375,"Protected"
"5","Herbivore Grazer","Herbivore","Acanthurus triostegus","Acanthuridae","Shifted","Cousin Carbonate",5.51794624633333,"Cousin Carbonate Acanthurus triostegus",16.114121968,-9.56040481861667,14.3242630385488,0,0.375,0.125,55,2.375,"Protected"
"7","Herbivore Grazer","Herbivore","Ctenochaetus striatus","Acanthuridae","Shifted","Cousin Carbonate",6.0320756685,"Cousin Carbonate Ctenochaetus striatus",8.49367248166667,4.52482636470834,16.3412042502952,0,0.375,0.125,55,2.375,"Protected"
"8","Herbivore Grazer","Herbivore","Ctenochaetus truncatus","Acanthuridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Ctenochaetus truncatus",15.040959118875,-15.040959118875,14.8716707021792,0,0.375,0.125,55,2.375,"Protected"
"9","Herbivore Browser","Herbivore","Naso elegans","Acanthuridae","Shifted","Cousin Carbonate",81.169429095,"Cousin Carbonate Naso elegans",0,195.187393294286,30.6751269035533,0,0.375,0.125,55,2.375,"Protected"
"11","Herbivore Grazer","Herbivore","Zebrasoma desjardinii","Acanthuridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Zebrasoma desjardinii",42.397272075,-38.1459233925,17.58125,0,0.375,0.125,55,2.375,"Protected"
"14","Mixed-diet Feeder","Mixed-diet Feeder","Chaetodon auriga","Chaetodontidae","Shifted","Cousin Carbonate",3.7394205925,"Cousin Carbonate Chaetodon auriga",9.8255015,-4.0010642874375,12.5583941605839,0,0.375,0.125,55,2.375,"Protected"
"18","Mixed-diet Feeder","Mixed-diet Feeder","Chaetodon lunula","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon lunula",4.91275075,-1.46958848875,13.7194244604317,0,0.375,0.125,55,2.375,"Protected"
"19","Corallivore","Corallivore","Chaetodon melannotus","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon melannotus",7.933904176,-7.933904176,11.1739130434783,0,0.375,0.125,55,2.375,"Protected"
"20","Corallivore","Corallivore","Chaetodon meyeri","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon meyeri",4.428597148,-4.428597148,13.6111111111111,0,0.375,0.125,55,2.375,"Protected"
"21","Corallivore","Corallivore","Chaetodon trifascialis","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon trifascialis",2.20615855533333,-2.20615855533333,10.7625,0,0.375,0.125,55,2.375,"Protected"
"22","Corallivore","Corallivore","Chaetodon trifasciatus","Chaetodontidae","Shifted","Cousin Carbonate",3.338224486,"Cousin Carbonate Chaetodon trifasciatus",5.19021608,-4.3556599585,11.175,0,0.375,0.125,55,2.375,"Protected"
"23","Mixed-diet Feeder","Mixed-diet Feeder","Chaetodon xanthocephalus","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon xanthocephalus",12.10509006,-9.648714685,15.453125,0,0.375,0.125,55,2.375,"Protected"
"27","Invertivore","Invertivore","Plectorhinchus orientalis","Haemulidae","Shifted","Cousin Carbonate",59.17411119,"Cousin Carbonate Plectorhinchus orientalis",0,34.2955897925,32.1014492753623,0,0.375,0.125,55,2.375,"Protected"
"29","Invertivore","Invertivore","Anampses meleagrides","Labridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Anampses meleagrides",3.44885513571429,-3.44885513571429,11.1612903225806,0,0.375,0.125,55,2.375,"Protected"
"30","Invertivore","Invertivore","Bodianus axillaris","Labridae","Shifted","Cousin Carbonate",2.965218269,"Cousin Carbonate Bodianus axillaris",5.0430092325,-4.30170466525,13.8814432989691,0,0.375,0.125,55,2.375,"Protected"
"32","Invertivore","Invertivore","Cheilinus trilobatus","Labridae","Shifted","Cousin Carbonate",65.2580936388,"Cousin Carbonate Cheilinus trilobatus",4.267922887,28.1489660096643,19.4168618266979,0,0.375,0.125,55,2.375,"Protected"
"33","Invertivore","Invertivore","Coris formosa","Labridae","Shifted","Cousin Carbonate",32.95405086,"Cousin Carbonate Coris formosa",59.1136018,-50.73207050425,29.0544217687075,0,0.375,0.125,55,2.375,"Protected"
"34","Invertivore & Piscivore","Mixed-diet Feeder","Epibulus insidiator","Labridae","Shifted","Cousin Carbonate",12.86724190825,"Cousin Carbonate Epibulus insidiator",16.595170365,-3.8840399670625,17.35,0,0.375,0.125,55,2.375,"Protected"
"35","Invertivore","Invertivore","Gomphosus caeruleus","Labridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Gomphosus caeruleus",7.73462955614286,-5.04880950201786,12.862426035503,0,0.375,0.125,55,2.375,"Protected"
"37","Invertivore","Invertivore","Halichoeres hortulanus","Labridae","Shifted","Cousin Carbonate",8.456124294,"Cousin Carbonate Halichoeres hortulanus",5.04640373425,2.66059390263571,13.689552238806,0,0.375,0.125,55,2.375,"Protected"
"38","Invertivore","Invertivore","Halichoeres marginatus","Labridae","Shifted","Cousin Carbonate",9.636295873625,"Cousin Carbonate Halichoeres marginatus",7.86901479385714,0.168028874972322,11.6423841059603,0,0.375,0.125,55,2.375,"Protected"
"40","Invertivore","Invertivore","Hemigymnus fasciatus","Labridae","Shifted","Cousin Carbonate",45.328839765,"Cousin Carbonate Hemigymnus fasciatus",13.5571775056667,31.4554021680833,19.3065843621399,0,0.375,0.125,55,2.375,"Protected"
"41","Invertivore","Invertivore","Hemigymnus melapterus","Labridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Hemigymnus melapterus",62.484568455,-36.998028555,25.0253164556962,0,0.375,0.125,55,2.375,"Protected"
"42","Corallivore","Corallivore","Labrichthys unilineatus","Labridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Labrichthys unilineatus",6.9968865378,-6.9968865378,10.7175792507205,0,0.375,0.125,55,2.375,"Protected"
"43","Invertivore","Invertivore","Labroides bicolor","Labridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Labroides bicolor",1.42150358,-1.42150358,11.5222222222222,0,0.375,0.125,55,2.375,"Protected"
"44","Invertivore","Invertivore","Labroides dimidiatus","Labridae","Shifted","Cousin Carbonate",0.711135567166667,"Cousin Carbonate Labroides dimidiatus",1.0513665705,-0.0024907582,9.53145695364238,0,0.375,0.125,55,2.375,"Protected"
"45","Invertivore","Invertivore","Macropharyngodon bipartitus","Labridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Macropharyngodon bipartitus",1.599572139,-1.599572139,9.07831325301205,0,0.375,0.125,55,2.375,"Protected"
"46","Invertivore","Invertivore","Novaculichthys taeniourus","Labridae","Shifted","Cousin Carbonate",7.53175739166667,"Cousin Carbonate Novaculichthys taeniourus",18.46970371,-12.7725758258333,23.9090909090909,0,0.375,0.125,55,2.375,"Protected"
"47","Piscivore","Piscivore","Oxycheilinus digramma","Labridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Oxycheilinus digramma",7.018002178,-7.018002178,15.9580838323353,0,0.375,0.125,55,2.375,"Protected"
"48","Invertivore","Invertivore","Stethojulis albovittata","Labridae","Shifted","Cousin Carbonate",2.178426025,"Cousin Carbonate Stethojulis albovittata",1.7784313275,-0.170935718,10.7903780068729,0,0.375,0.125,55,2.375,"Protected"
"49","Invertivore","Invertivore","Thalassoma hardwicke","Labridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Thalassoma hardwicke",1.757977391,-1.757977391,12.8536585365854,0,0.375,0.125,55,2.375,"Protected"
"50","Invertivore","Invertivore","Thalassoma hebraicum","Labridae","Shifted","Cousin Carbonate",6.376216083125,"Cousin Carbonate Thalassoma hebraicum",2.7144338746,3.7082187106753,13.2161785216179,0,0.375,0.125,55,2.375,"Protected"
"53","Invertivore & Piscivore","Mixed-diet Feeder","Lethrinus harak","Lethrinidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Lethrinus harak",41.46272908,-41.46272908,31.4645390070922,0,0.375,0.125,55,2.375,"Protected"
"57","Invertivore & Piscivore","Mixed-diet Feeder","Lethrinus obsoletus","Lethrinidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Lethrinus obsoletus",73.43734281,-59.6186501025,21.3136531365314,0,0.375,0.125,55,2.375,"Protected"
"61","Piscivore","Piscivore","Aprion virescens","Lutjanidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Aprion virescens",131.308595336667,3.43125083208329,46.3373493975904,0,0.375,0.125,55,2.375,"Protected"
"63","Piscivore","Piscivore","Lutjanus bohar","Lutjanidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Lutjanus bohar",33.9357078243333,-27.6872290025833,26.3741935483871,0,0.375,0.125,55,2.375,"Protected"
"64","Invertivore & Piscivore","Mixed-diet Feeder","Lutjanus fulviflamma","Lutjanidae","Shifted","Cousin Carbonate",15.996644105,"Cousin Carbonate Lutjanus fulviflamma",0,14.4170396785,20.7901785714286,0,0.375,0.125,55,2.375,"Protected"
"70","Corallivore","Corallivore","Oxymonacanthus longirostris","Monacanthidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Oxymonacanthus longirostris",1.51064860814286,-1.51064860814286,8.18724696356275,0,0.375,0.125,55,2.375,"Protected"
"72","Invertivore","Invertivore","Parupeneus barberinus","Mullidae","Shifted","Cousin Carbonate",42.281750845,"Cousin Carbonate Parupeneus barberinus",0,21.171851002125,21.1598513011152,0,0.375,0.125,55,2.375,"Protected"
"73","Invertivore & Piscivore","Mixed-diet Feeder","Parupeneus ciliatus","Mullidae","Shifted","Cousin Carbonate",3.571659553,"Cousin Carbonate Parupeneus ciliatus",0,20.54396425575,22.0284360189573,0,0.375,0.125,55,2.375,"Protected"
"75","Invertivore","Invertivore","Parupeneus macronemus","Mullidae","Shifted","Cousin Carbonate",5.667229588,"Cousin Carbonate Parupeneus macronemus",4.80885926775,0.3251018316125,14.3498402555911,0,0.375,0.125,55,2.375,"Protected"
"78","Invertivore","Invertivore","Scolopsis frenatus","Nemipteridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Scolopsis frenatus",44.459599352,-30.291359114375,19.7291910902696,0,0.375,0.125,55,2.375,"Protected"
"80","Invertivore","Invertivore","Centropyge multispinis","Pomacanthidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Centropyge multispinis",5.109449486,-5.109449486,10.9078341013825,0,0.375,0.125,55,2.375,"Protected"
"81","Invertivore","Invertivore","Pomacanthus imperator","Pomacanthidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Pomacanthus imperator",48.40908718,-31.773842248,22.2255639097744,0,0.375,0.125,55,2.375,"Protected"
"82","Invertivore","Invertivore","Pomacanthus semicirculatus","Pomacanthidae","Shifted","Cousin Carbonate",4.5899181245,"Cousin Carbonate Pomacanthus semicirculatus",55.020958425,-45.9406122045,19.8024691358025,0,0.375,0.125,55,2.375,"Protected"
"84","Planktivore","Planktivore","Chromis atripectoralis","Pomacentridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chromis atripectoralis",5.760861693,-5.760861693,8.23706896551724,0,0.375,0.125,55,2.375,"Protected"
"86","Planktivore","Planktivore","Chromis weberi","Pomacentridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chromis weberi",34.6788108173333,-34.6788108173333,8.47293640054127,0,0.375,0.125,55,2.375,"Protected"
"89","Mixed-diet Feeder","Mixed-diet Feeder","Plectroglyphidodon dickii","Pomacentridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Plectroglyphidodon dickii",2.1947791215,-2.1947791215,8.30555555555556,0,0.375,0.125,55,2.375,"Protected"
"90","Mixed-diet Feeder","Mixed-diet Feeder","Plectroglyphidodon johnstonianus","Pomacentridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Plectroglyphidodon johnstonianus",0.952900567,-0.952900567,8.04878048780488,0,0.375,0.125,55,2.375,"Protected"
"91","Herbivore Grazer","Herbivore","Plectroglyphidodon lacrymatus","Pomacentridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Plectroglyphidodon lacrymatus",7.6028030725,-7.6028030725,8.49693852559393,0,0.375,0.125,55,2.375,"Protected"
"94","Herbivore Browser","Herbivore","Calotomus carolinus","Scaridae","Shifted","Cousin Carbonate",62.7828186593333,"Cousin Carbonate Calotomus carolinus",0,69.1838883755,27.0347826086957,0,0.375,0.125,55,2.375,"Protected"
"95","Herbivore Excavator","Herbivore","Cetoscarus bicolor","Scaridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Cetoscarus bicolor",55.96345126,-55.96345126,24.625,0,0.375,0.125,55,2.375,"Protected"
"96","Herbivore Excavator","Herbivore","Chlorurus atrilunula","Scaridae","Shifted","Cousin Carbonate",141.5367348275,"Cousin Carbonate Chlorurus atrilunula",0,85.3310143068,23.8240343347639,0,0.375,0.125,55,2.375,"Protected"
"97","Herbivore Excavator","Herbivore","Chlorurus sordidus","Scaridae","Shifted","Cousin Carbonate",64.2885786116,"Cousin Carbonate Chlorurus sordidus",34.0541833233333,53.092525520403,17.2966126656848,0,0.375,0.125,55,2.375,"Protected"
"99","Herbivore Scraper","Herbivore","Hipposcarus harid","Scaridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Hipposcarus harid",68.48428106,-68.48428106,33.140243902439,0,0.375,0.125,55,2.375,"Protected"
"103","Herbivore Scraper","Herbivore","Scarus frenatus","Scaridae","Shifted","Cousin Carbonate",15.57574842,"Cousin Carbonate Scarus frenatus",43.77804942075,-39.88411231575,27.3355263157895,0,0.375,0.125,55,2.375,"Protected"
"104","Herbivore Scraper","Herbivore","Scarus ghobban","Scaridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Scarus ghobban",63.71272667,-19.2967719058125,23.1445497630332,0,0.375,0.125,55,2.375,"Protected"
"105","Herbivore Scraper","Herbivore","Scarus globiceps","Scaridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Scarus globiceps",35.01736456,-35.01736456,35.9347826086956,0,0.375,0.125,55,2.375,"Protected"
"106","Herbivore Scraper","Herbivore","Scarus niger","Scaridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Scarus niger",40.78477433125,15.12132186175,24.9366028708134,0,0.375,0.125,55,2.375,"Protected"
"107","Herbivore Scraper","Herbivore","Scarus prasiognathos","Scaridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Scarus prasiognathos",26.39147722675,-0.643695834499997,14.5881962864721,0,0.375,0.125,55,2.375,"Protected"
"108","Herbivore Scraper","Herbivore","Scarus psittacus","Scaridae","Shifted","Cousin Carbonate",17.680609684,"Cousin Carbonate Scarus psittacus",28.503541355,-7.3298208124375,16.3675958188153,0,0.375,0.125,55,2.375,"Protected"
"109","Herbivore Scraper","Herbivore","Scarus rubroviolaceus","Scaridae","Shifted","Cousin Carbonate",146.627754735,"Cousin Carbonate Scarus rubroviolaceus",38.26806137,101.205737082135,27.3267882187938,0,0.375,0.125,55,2.375,"Protected"
"110","Herbivore Scraper","Herbivore","Scarus scaber","Scaridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Scarus scaber",30.027448112,-30.027448112,27.68,0,0.375,0.125,55,2.375,"Protected"
"111","Herbivore Scraper","Herbivore","Scarus tricolor","Scaridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Scarus tricolor",47.70628571,-43.4930596785,27.0584415584416,0,0.375,0.125,55,2.375,"Protected"
"115","Piscivore","Piscivore","Cephalopholis argus","Serranidae","Shifted","Cousin Carbonate",61.21855239,"Cousin Carbonate Cephalopholis argus",78.561232820625,-17.515776458125,30.2831050228311,0,0.375,0.125,55,2.375,"Protected"
"117","Piscivore","Piscivore","Cephalopholis miniata","Serranidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Cephalopholis miniata",8.85205126,-8.85205126,22.5806451612903,0,0.375,0.125,55,2.375,"Protected"
"125","Herbivore Browser","Herbivore","Siganus argenteus","Siganidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Siganus argenteus",39.831928727,59.1218469345,22.9469578783151,0,0.375,0.125,55,2.375,"Protected"
"126","Herbivore Grazer","Herbivore","Siganus puelloides","Siganidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Siganus puelloides",55.82649424,-48.2235498975,24.8965517241379,0,0.375,0.125,55,2.375,"Protected"
"128","Herbivore Browser","Herbivore","Siganus sutor","Siganidae","Shifted","Cousin Carbonate",294.59957825,"Cousin Carbonate Siganus sutor",0,121.404245772,20.4250248262165,0,0.375,0.125,55,2.375,"Protected"
"129","Invertivore","Invertivore","Zanclus cornutus","Zanclidae","Shifted","Cousin Carbonate",8.415730864,"Cousin Carbonate Zanclus cornutus",25.43901404,-18.327220781,13.9429347826087,0,0.375,0.125,55,2.375,"Protected"
"130","Herbivore Grazer","Herbivore","Acanthurus leucosternon","Acanthuridae","Shifted","Cousin Granite",3.951776015,"Cousin Granite Acanthurus leucosternon",0,0.98794400375,16.0612244897959,0.875,0.25,0.25,29.75,2.4375,"Protected"
"132","Herbivore Grazer","Herbivore","Acanthurus nigrofuscus","Acanthuridae","Shifted","Cousin Granite",5.05219053916667,"Cousin Granite Acanthurus nigrofuscus",0,6.2765389909375,13.7090301003344,0.875,0.25,0.25,29.75,2.4375,"Protected"
"133","Herbivore Grazer","Herbivore","Acanthurus tennentii","Acanthuridae","Shifted","Cousin Granite",63.9947325226667,"Cousin Granite Acanthurus tennentii",0,47.7668452333452,21.9609756097561,0.875,0.25,0.25,29.75,2.4375,"Protected"
"134","Herbivore Grazer","Herbivore","Acanthurus triostegus","Acanthuridae","Shifted","Cousin Granite",9.500554036,"Cousin Granite Acanthurus triostegus",18.1609505852857,-9.13044756704821,14.3242630385488,0.875,0.25,0.25,29.75,2.4375,"Protected"
"136","Herbivore Grazer","Herbivore","Ctenochaetus striatus","Acanthuridae","Shifted","Cousin Granite",7.48903772125,"Cousin Granite Ctenochaetus striatus",27.6799997086667,-19.8638572684792,16.3412042502952,0.875,0.25,0.25,29.75,2.4375,"Protected"
"137","Herbivore Grazer","Herbivore","Ctenochaetus truncatus","Acanthuridae","Shifted","Cousin Granite",0,"Cousin Granite Ctenochaetus truncatus",4.862026571,-2.59384617466667,14.8716707021792,0.875,0.25,0.25,29.75,2.4375,"Protected"
"138","Herbivore Browser","Herbivore","Naso elegans","Acanthuridae","Shifted","Cousin Granite",182.75997007,"Cousin Granite Naso elegans",0,70.347891865,30.6751269035533,0.875,0.25,0.25,29.75,2.4375,"Protected"
"140","Herbivore Grazer","Herbivore","Zebrasoma desjardinii","Acanthuridae","Shifted","Cousin Granite",0,"Cousin Granite Zebrasoma desjardinii",38.208555735,-26.29199166,17.58125,0.875,0.25,0.25,29.75,2.4375,"Protected"
"141","Herbivore Grazer","Herbivore","Zebrasoma scopas","Acanthuridae","Shifted","Cousin Granite",0,"Cousin Granite Zebrasoma scopas",6.8888274275,-6.8888274275,14.3285714285714,0.875,0.25,0.25,29.75,2.4375,"Protected"
"143","Mixed-diet Feeder","Mixed-diet Feeder","Chaetodon auriga","Chaetodontidae","Shifted","Cousin Granite",2.467569487,"Cousin Granite Chaetodon auriga",6.4708706175,-3.0173988993,12.5583941605839,0.875,0.25,0.25,29.75,2.4375,"Protected"
"147","Mixed-diet Feeder","Mixed-diet Feeder","Chaetodon lunula","Chaetodontidae","Shifted","Cousin Granite",0,"Cousin Granite Chaetodon lunula",10.298892601,-10.298892601,13.7194244604317,0.875,0.25,0.25,29.75,2.4375,"Protected"
"148","Corallivore","Corallivore","Chaetodon melannotus","Chaetodontidae","Shifted","Cousin Granite",0,"Cousin Granite Chaetodon melannotus",4.11115067533333,-4.11115067533333,11.1739130434783,0.875,0.25,0.25,29.75,2.4375,"Protected"
"151","Corallivore","Corallivore","Chaetodon trifasciatus","Chaetodontidae","Shifted","Cousin Granite",0,"Cousin Granite Chaetodon trifasciatus",2.7999960578,-0.0501350760499997,11.175,0.875,0.25,0.25,29.75,2.4375,"Protected"
"152","Mixed-diet Feeder","Mixed-diet Feeder","Chaetodon xanthocephalus","Chaetodontidae","Shifted","Cousin Granite",0,"Cousin Granite Chaetodon xanthocephalus",24.71560355,-23.4874158625,15.453125,0.875,0.25,0.25,29.75,2.4375,"Protected"
"153","Corallivore","Corallivore","Chaetodon zanzibarensis","Chaetodontidae","Shifted","Cousin Granite",0,"Cousin Granite Chaetodon zanzibarensis",5.498922971,-5.498922971,11.0076335877863,0.875,0.25,0.25,29.75,2.4375,"Protected"
"156","Invertivore","Invertivore","Plectorhinchus orientalis","Haemulidae","Shifted","Cousin Granite",0,"Cousin Granite Plectorhinchus orientalis",36.81868924,-17.316627245,32.1014492753623,0.875,0.25,0.25,29.75,2.4375,"Protected"
"157","Invertivore","Invertivore","Plectorhinchus schotaf","Haemulidae","Shifted","Cousin Granite",163.55179855,"Cousin Granite Plectorhinchus schotaf",215.66469596,-174.7767463225,26.5605095541401,0.875,0.25,0.25,29.75,2.4375,"Protected"
"158","Invertivore","Invertivore","Anampses meleagrides","Labridae","Shifted","Cousin Granite",0,"Cousin Granite Anampses meleagrides",1.178656036,-1.05434465725,11.1612903225806,0.875,0.25,0.25,29.75,2.4375,"Protected"
"159","Invertivore","Invertivore","Bodianus axillaris","Labridae","Shifted","Cousin Granite",0,"Cousin Granite Bodianus axillaris",2.965218269,-2.965218269,13.8814432989691,0.875,0.25,0.25,29.75,2.4375,"Protected"
"161","Invertivore","Invertivore","Cheilinus trilobatus","Labridae","Shifted","Cousin Granite",11.3529669043333,"Cousin Granite Cheilinus trilobatus",11.0556372835,9.463260466625,19.4168618266979,0.875,0.25,0.25,29.75,2.4375,"Protected"
"163","Invertivore & Piscivore","Mixed-diet Feeder","Epibulus insidiator","Labridae","Shifted","Cousin Granite",6.489624006,"Cousin Granite Epibulus insidiator",7.1828119925,-3.19866356575,17.35,0.875,0.25,0.25,29.75,2.4375,"Protected"
"164","Invertivore","Invertivore","Gomphosus caeruleus","Labridae","Shifted","Cousin Granite",4.513017054,"Cousin Granite Gomphosus caeruleus",3.155087592,-0.175250705166667,12.862426035503,0.875,0.25,0.25,29.75,2.4375,"Protected"
"165","Invertivore","Invertivore","Halichoeres cosmetus","Labridae","Shifted","Cousin Granite",2.6033851015,"Cousin Granite Halichoeres cosmetus",3.068474822,-2.417628546625,11.75,0.875,0.25,0.25,29.75,2.4375,"Protected"
"166","Invertivore","Invertivore","Halichoeres hortulanus","Labridae","Shifted","Cousin Granite",4.867218005,"Cousin Granite Halichoeres hortulanus",4.0177983295,-1.62853509116667,13.689552238806,0.875,0.25,0.25,29.75,2.4375,"Protected"
"167","Invertivore","Invertivore","Halichoeres marginatus","Labridae","Shifted","Cousin Granite",5.0793942796,"Cousin Granite Halichoeres marginatus",2.78809415725,2.08493401743125,11.6423841059603,0.875,0.25,0.25,29.75,2.4375,"Protected"
"169","Invertivore","Invertivore","Hemigymnus fasciatus","Labridae","Shifted","Cousin Granite",41.1300822635,"Cousin Granite Hemigymnus fasciatus",25.985737505,27.632816607775,19.3065843621399,0.875,0.25,0.25,29.75,2.4375,"Protected"
"170","Invertivore","Invertivore","Hemigymnus melapterus","Labridae","Shifted","Cousin Granite",0,"Cousin Granite Hemigymnus melapterus",67.81485588,-13.94068029,25.0253164556962,0.875,0.25,0.25,29.75,2.4375,"Protected"
"171","Corallivore","Corallivore","Labrichthys unilineatus","Labridae","Shifted","Cousin Granite",0,"Cousin Granite Labrichthys unilineatus",8.062655434125,-8.062655434125,10.7175792507205,0.875,0.25,0.25,29.75,2.4375,"Protected"
"172","Invertivore","Invertivore","Labroides bicolor","Labridae","Shifted","Cousin Granite",0,"Cousin Granite Labroides bicolor",0.845263133,-0.1353066115,11.5222222222222,0.875,0.25,0.25,29.75,2.4375,"Protected"
"173","Invertivore","Invertivore","Labroides dimidiatus","Labridae","Shifted","Cousin Granite",1.12344252783333,"Cousin Granite Labroides dimidiatus",0.314457566,0.515078592183333,9.53145695364238,0.875,0.25,0.25,29.75,2.4375,"Protected"
"175","Invertivore","Invertivore","Novaculichthys taeniourus","Labridae","Shifted","Cousin Granite",1.472897601,"Cousin Granite Novaculichthys taeniourus",0,3.238257180375,23.9090909090909,0.875,0.25,0.25,29.75,2.4375,"Protected"
"176","Piscivore","Piscivore","Oxycheilinus digramma","Labridae","Shifted","Cousin Granite",0,"Cousin Granite Oxycheilinus digramma",8.3130037255,-8.3130037255,15.9580838323353,0.875,0.25,0.25,29.75,2.4375,"Protected"
"177","Invertivore","Invertivore","Stethojulis albovittata","Labridae","Shifted","Cousin Granite",1.98561028,"Cousin Granite Stethojulis albovittata",2.893021996,-0.5611028719,10.7903780068729,0.875,0.25,0.25,29.75,2.4375,"Protected"
"179","Invertivore","Invertivore","Thalassoma hebraicum","Labridae","Shifted","Cousin Granite",3.81883664628571,"Cousin Granite Thalassoma hebraicum",4.934763633,-1.5324554967619,13.2161785216179,0.875,0.25,0.25,29.75,2.4375,"Protected"
"182","Invertivore & Piscivore","Mixed-diet Feeder","Lethrinus harak","Lethrinidae","Shifted","Cousin Granite",136.52698086,"Cousin Granite Lethrinus harak",74.4630560425,-16.88418820125,31.4645390070922,0.875,0.25,0.25,29.75,2.4375,"Protected"
"184","Invertivore & Piscivore","Mixed-diet Feeder","Lethrinus mahsena","Lethrinidae","Shifted","Cousin Granite",45.97881069,"Cousin Granite Lethrinus mahsena",0,29.1548989425,17.4791666666667,0.875,0.25,0.25,29.75,2.4375,"Protected"
"185","Invertivore & Piscivore","Mixed-diet Feeder","Lethrinus nebulosus","Lethrinidae","Shifted","Cousin Granite",3.89702637766667,"Cousin Granite Lethrinus nebulosus",0,22.804260465,18.3122529644269,0.875,0.25,0.25,29.75,2.4375,"Protected"
"186","Invertivore & Piscivore","Mixed-diet Feeder","Lethrinus obsoletus","Lethrinidae","Shifted","Cousin Granite",38.99079218,"Cousin Granite Lethrinus obsoletus",46.2682901366667,-14.2664903436667,21.3136531365314,0.875,0.25,0.25,29.75,2.4375,"Protected"
"190","Piscivore","Piscivore","Aprion virescens","Lutjanidae","Shifted","Cousin Granite",86.757010585,"Cousin Granite Aprion virescens",199.00877285,-59.87329039625,46.3373493975904,0.875,0.25,0.25,29.75,2.4375,"Protected"
"192","Piscivore","Piscivore","Lutjanus bohar","Lutjanidae","Shifted","Cousin Granite",0,"Cousin Granite Lutjanus bohar",38.877352743,-32.0670314305,26.3741935483871,0.875,0.25,0.25,29.75,2.4375,"Protected"
"193","Invertivore & Piscivore","Mixed-diet Feeder","Lutjanus fulviflamma","Lutjanidae","Shifted","Cousin Granite",21.8236498486667,"Cousin Granite Lutjanus fulviflamma",73.0759567433333,-67.6200442811667,20.7901785714286,0.875,0.25,0.25,29.75,2.4375,"Protected"
"194","Invertivore & Piscivore","Mixed-diet Feeder","Lutjanus gibbus","Lutjanidae","Shifted","Cousin Granite",64.25049945,"Cousin Granite Lutjanus gibbus",50.36191216,-34.2992872975,24.5323383084577,0.875,0.25,0.25,29.75,2.4375,"Protected"
